manifest_order,review_id,app_name,rating,review_date,review_text,already_annotated
1946,67540,Kredivo,5,2025-03-17,biar bintang yg berbicara,False
1958,94134,Kredivo,5,2024-09-12,thanks for you,False
2056,261854,Kredivo,5,2024-03-03,bagus aplikasi kredivo,False
2061,60019,Kredivo,5,2025-05-22,cepat di acc,False
2114,253635,Kredivo,5,2024-04-18,prosesnya tidak ribet,False
2150,274108,Kredivo,5,2024-01-12,suka banget sama kredivo,False
2542,133545,Akulaku,2,2025-02-07,gak bisa update,False
2559,230263,Kredivo,5,2024-09-01,sangat membantu disaat genting,False
2675,84416,Kredivo,5,2024-11-19,aplikasi yang mantap,False
2755,196519,Akulaku,5,2024-06-08,bagus dan sangat membantu,False
2782,30316,Kredivo,2,2024-02-09,limit tidak jelas,False
2842,69706,Kredivo,5,2025-03-02,mantap is the best,False
2970,55325,Kredivo,5,2025-06-11,membantu saat urgent,False
2975,68944,Kredivo,5,2025-03-07,baik sangat membantu,False
2977,258251,Kredivo,5,2024-03-21,belanja lebih mudah,False
3066,57098,Kredivo,5,2025-06-07,aplikasinya gk bisa di buka,False
3086,192871,Akulaku,5,2024-07-02,sukses terus akulaku,True
3111,219845,Akulaku,5,2024-01-07,terima kasih sangat membantu sekali,False
3140,251926,Kredivo,5,2024-04-29,semua mudah dengan kredivo,False
3145,161387,Akulaku,5,2025-06-22,akulaku is the best,False
3172,227776,Kredivo,4,2024-05-06,semoga bisa di acc,False
3226,190338,Akulaku,5,2024-07-19,"terima kasih akulaku, sangat membantu",False
3249,275419,Kredivo,5,2024-01-07,bagus sngt membantu,False
3265,269634,Kredivo,5,2024-01-31,semoga aja di acc,False
3331,181084,Akulaku,5,2024-09-24,sangat mudah dan aman,False
3345,83933,Kredivo,5,2024-11-23,aplikasi yng sangat membantu.,False
3353,61284,Kredivo,5,2025-05-11,semoga d terima,False
3384,128309,Akulaku,1,2024-02-15,makin kesini makin sulit,False
3407,38535,Kredivo,5,2025-12-15,proses cepat dan mudah,False
3458,164137,Akulaku,5,2025-05-02,prosesnya cepat dan gak ribet,False
3473,72487,Kredivo,5,2025-02-11,menyenangkan pakai kredivo,False
3527,79396,Kredivo,5,2024-12-25,transaksi sangat mudah,False
3558,218630,Akulaku,5,2024-01-14,sangat membantu. terimakasih,False
3562,69441,Kredivo,5,2025-03-04,solusi yang baik,False
3598,28512,Kredivo,2,2024-09-13,tidak di acc terus,False
3675,80448,Kredivo,5,2024-12-17,cepat sekali acc nya,False
3683,269210,Kredivo,5,2024-02-01,bagus dan membantu,False
3713,208536,Akulaku,5,2024-03-13,terima kasih aku laku,False
3735,179726,Akulaku,5,2024-10-02,hebat sangat membantu,False
3856,253156,Kredivo,5,2024-04-22,bagus sangat membantu,False
3877,193418,Akulaku,5,2024-06-29,nggak bisa pinjam lagi,False
3920,266844,Kredivo,5,2024-02-11,mantap sangat sangat membantu,False
4024,193595,Akulaku,5,2024-06-28,masih belum bisa,False
4090,85655,Kredivo,5,2024-11-10,sangat bagus & membantu,False
4119,248234,Kredivo,5,2024-05-18,jd lebih mudah,False
4138,186447,Akulaku,5,2024-08-15,akulaku keren mantap,True
4153,173570,Akulaku,5,2024-11-23,aplikasi yang sangat menarik,False
4270,173475,Akulaku,5,2024-11-24,mantap jiwa akulaku,False
4297,68634,Kredivo,5,2025-03-09,terbaik deh pokoknya,False
4393,243470,Kredivo,5,2024-06-11,sangat baik kredivo,False
4513,134269,Akulaku,2,2024-11-10,paylater nya gak bisa di pake,False
4552,229884,Kredivo,5,2024-09-03,mudahan bisa membantu,False
4637,68546,Kredivo,5,2025-03-10,sangat bagus kredivo,False
4704,253708,Kredivo,5,2024-04-18,"terimakasih kredivo, sangat membantu",False
4747,260522,Kredivo,5,2024-03-09,puas sangat puas,False
4753,63353,Kredivo,5,2025-04-22,kredivo is the best,False
4754,180893,Akulaku,5,2024-09-25,"sangat membantu, terima kasih akulaku",False
4824,276693,Kredivo,5,2024-01-02,cepat n ngk ribet,False
4872,261867,Kredivo,5,2024-03-02,"terimakasih, sangat membantu sekali",False
4932,275023,Kredivo,5,2024-01-09,aplikasi yang sangat recomended,False
4981,91348,Kredivo,5,2024-10-02,aplikasi yg sangat bagus dan membantu,False
4998,169521,Akulaku,5,2025-01-24,akulaku sangat membantu saya,False
5001,231351,Kredivo,5,2024-08-25,aplikasi nya bagus sangat membantu,False
5038,68382,Kredivo,5,2025-03-11,terimakasih kredivo sangat membantu,False
5054,200403,Akulaku,5,2024-05-11,apk sangat membantu,False
5102,195360,Akulaku,5,2024-06-16,menyala abang ku,False
5104,72716,Kredivo,5,2025-02-09,sangat membantu dalam situasi darurat,False
5129,48734,Kredivo,5,2025-08-31,sangat bagus dan sangat membantu,False
5318,252148,Kredivo,5,2024-04-28,respon nya sangat cepat,True
5529,113089,Akulaku,1,2024-10-23,knp limit saya gk bisa di gunakan,True
5550,94228,Kredivo,5,2024-09-12,bagus banget aplikasi nya,False
5759,245489,Kredivo,5,2024-06-01,semoga kredivo bs membantu,False
5770,217674,Akulaku,5,2024-01-20,puas pake akulaku,False
5823,93638,Kredivo,5,2024-09-16,sangat membantu dalam kesulitan,True
5850,175242,Akulaku,5,2024-11-08,aplikasi ini sangat membantu banget,False
5901,84094,Kredivo,5,2024-11-22,sangat mudah dan membantu,False
5923,184125,Akulaku,5,2024-08-31,mudah dan cepat prosesnya,False
6018,123085,Akulaku,1,2024-05-04,percuma ngak bisa di pakai,False
6035,176352,Akulaku,5,2024-10-30,terimakasih sudah sangat membantu,False
6073,77926,Kredivo,5,2025-01-04,sangat membantu dan bunga rendah,False
6082,45715,Kredivo,5,2025-09-29,pencairan mudah dan cepat,False
6087,179719,Akulaku,5,2024-10-03,sangat membantu yg membutuhkan,True
6113,240404,Kredivo,5,2024-06-28,membantu terima kasih,False
6131,83916,Kredivo,5,2024-11-23,aplikasi kredivo sangat membantu sekali,False
6157,202086,Akulaku,5,2024-04-29,sangat puas sekali,False
6203,54094,Kredivo,5,2025-06-22,so far so good,False
6231,219864,Akulaku,5,2024-01-07,tolong acc pinjaman saya,True
6314,71168,Kredivo,5,2025-02-20,good job kredivo,False
6338,142210,Akulaku,3,2024-06-25,limitnya nggak bisa dipake,False
6347,35388,Kredivo,5,2026-01-19,bagus sangat membantu,False
6444,92451,Kredivo,5,2024-09-24,masih dalam percobaan,False
6482,182996,Akulaku,5,2024-09-08,sangat membantu sekali,False
6538,205073,Akulaku,5,2024-04-06,akulaku emang terbaik,False
6551,43141,Kredivo,5,2025-10-25,di tolak terus,False
6612,218423,Akulaku,5,2024-01-15,akulaku sangat bagus,False
6625,265041,Kredivo,5,2024-02-20,sangat membantu dalam pembayaran,False
6634,267265,Kredivo,5,2024-02-09,bagus tdk ribet,False
6641,35353,Kredivo,5,2026-01-20,kredivo gak jelas,False
6665,51437,Kredivo,5,2025-07-25,terimakasih atas kepercayaan nya,False
6677,222481,Kredivo,3,2024-02-09,limit gak bisa naik,False
6697,149655,Akulaku,4,2024-02-28,paylaterku ga bsa dipake,True
6702,170862,Akulaku,5,2025-01-01,sangat membantu kalau lagi kepepet,False
6806,264562,Kredivo,5,2024-02-21,simple ga ribet,False
6813,227805,Kredivo,4,2024-05-03,kenapa limit gak bisa dipakai,False
6816,144276,Akulaku,3,2024-01-18,kenapa limit saya tidak bs digunakan,False
6827,37526,Kredivo,5,2025-12-28,proses cepat dan mudah,False
6841,92664,Kredivo,5,2024-09-22,mantap terbantu sekali,True
6849,72293,Kredivo,5,2025-02-12,terima kasih kredivo,False
6922,75472,Kredivo,5,2025-01-21,sangat membantu sekali...,True
6953,171847,Akulaku,5,2024-12-14,sangat cocok untuk kebutuhan sehari-hari,False
6972,89180,Kredivo,5,2024-10-15,aplikasi yang bagus dan membantu,False
7084,216660,Akulaku,5,2024-01-26,sangat baik dan sangat berguna,False
7122,54698,Kredivo,5,2025-06-15,sangat membantu terimakasih kredivo,False
7135,69558,Kredivo,5,2025-03-03,good lah pokoknya,False
7137,93409,Kredivo,5,2024-09-18,kredivo sangat membantu,False
7178,187161,Akulaku,5,2024-08-09,sangat membantu di saat genting,False
7191,86281,Kredivo,5,2024-11-05,"sangat baik, terima kasih",False
7268,206713,Akulaku,5,2024-03-26,terimakasih akulaku sudah membantu,False
7301,91150,Kredivo,5,2024-10-02,mudah mudahan amanah,False
7375,71397,Kredivo,5,2025-02-19,pelayanan yg cepat,True
7549,183577,Akulaku,5,2024-09-03,mantap pinjaman langsung cair,False
7551,79092,Kredivo,5,2024-12-27,sangat mudah di gunakan,False
7582,93986,Kredivo,5,2024-09-14,sangat membantu sekali.,False
7596,204845,Akulaku,5,2024-04-08,silahkan di coba,False
7670,91224,Kredivo,5,2024-10-02,sukses selalu buat kredivo,False
7691,73502,Kredivo,5,2025-02-04,bagus membantu banget,False
7770,48527,Kredivo,5,2025-09-01,aplikasi yg sangat membantu,False
7792,140119,Akulaku,3,2025-01-26,tidak bisa di install,False
7810,72080,Kredivo,5,2025-02-14,mantap sangat membantu,False
7877,108289,Akulaku,1,2025-02-09,aplikasi tidak jelas,False
7900,35702,Kredivo,5,2026-01-16,proses nya mudah dan cepat,True
7902,168448,Akulaku,5,2025-02-09,belanja lebih mudah,True
7930,200685,Akulaku,5,2024-05-09,sangat membantu terimakasi akulaku,False
7953,88414,Kredivo,5,2024-10-21,proses cepat dan murah,False
7992,204589,Akulaku,5,2024-04-10,tak cair cair,False
7997,64610,Kredivo,5,2025-04-11,"terima kasih, sangat membantu",False
8014,64235,Kredivo,5,2025-04-14,kredivo memang yang terbaik,False
8019,274166,Kredivo,5,2024-01-12,sangat sangat membantu..,False
8030,211899,Akulaku,5,2024-02-23,ok sangat membantu,False
8033,143244,Akulaku,3,2024-03-28,ga bisa paylater,False
8053,253041,Kredivo,5,2024-04-22,"bagus aplikasinya, sangat membantu",False
8142,261541,Kredivo,5,2024-03-04,aplikasi the best,False
8143,58533,Kredivo,5,2025-06-05,aplikasi kredivo kenapa gk bisa dibuka,True
8173,265416,Kredivo,5,2024-02-18,"bagus, ga ribet",False
8212,257531,Kredivo,5,2024-03-25,mantaaap pokok nya,False
8222,234246,Kredivo,5,2024-08-06,pokoknya mantap lah,False
8241,164493,Akulaku,5,2025-04-26,terima kasih aku laku,False
8264,177854,Akulaku,5,2024-10-18,apk ngak jelas,False
8267,242622,Kredivo,5,2024-06-15,terimakasih atas kepercayaan nya,False
8303,237036,Kredivo,5,2024-07-19,sangat membantu dlm keadaan darurat,False
8316,262908,Kredivo,5,2024-02-28,terima kasih karena sangat membantu,False
8323,219777,Akulaku,5,2024-01-08,aplikasi sangat memuaskan,False
8329,236910,Kredivo,5,2024-07-20,sangat membantu untuk dana darurat,False
8464,103949,Akulaku,1,2025-06-20,gk bisa ngajuin,False
8477,241457,Kredivo,5,2024-06-21,dengan adanya kredivo sangat membantu saya,False
8533,77610,Kredivo,5,2025-01-06,sangat membantu sekalii,False
8537,210597,Akulaku,5,2024-03-01,ada limit tpi tidak bisa di gunakan,False
8540,66883,Kredivo,5,2025-03-22,membantu banget terimakasih kredivo,False
8576,162072,Akulaku,5,2025-06-08,terimaksih sudah membantu,False
8590,81919,Kredivo,5,2024-12-07,mudah dan bagus,False
8642,203620,Akulaku,5,2024-04-18,sangat puas dengan aplikasi akulaku,False
8682,98074,Akulaku,1,2025-11-13,apk ga ada guna,False
8794,122371,Akulaku,1,2024-05-17,gak bisa pinjam lg,False
8883,130039,Akulaku,1,2024-01-25,ada limit ga bisa di pakai,False
8887,217592,Akulaku,5,2024-01-21,aplikasi yang recommended banget,False
8888,73592,Kredivo,5,2025-02-03,aplikasi sangat berguna,False
8924,251319,Kredivo,5,2024-05-02,pokoknya the best,False
8948,48594,Kredivo,5,2025-09-01,aplikasi yang sangat bagus,False
8957,264761,Kredivo,5,2024-02-21,membantu modal usaha,False
9018,181782,Akulaku,5,2024-09-17,mantap makasih akulaku,False
9019,104036,Akulaku,1,2025-06-18,aplikasi ngk jelas,True
9035,241638,Kredivo,5,2024-06-20,terimakasih untuk kredivo,True
9106,270328,Kredivo,5,2024-01-28,proses cepat mantap,False
9130,215990,Akulaku,5,2024-01-30,proses gk ribet,False
9137,274936,Kredivo,5,2024-01-09,mantap sangat membantu,False
9162,118466,Akulaku,1,2024-07-20,limit ga bisa di pake buat apa,True
9203,245883,Kredivo,5,2024-05-30,mantap gk pakai ribet,False
9233,38339,Kredivo,5,2025-12-18,kredivo memang mantap,False
9381,53500,Kredivo,5,2025-06-28,lama banget naik limit nya,True
9468,95279,Kredivo,5,2024-09-06,sangat membantu untuk kebutuhan mendesak,False
9493,176851,Akulaku,5,2024-10-26,kenapa limit sya tidak bisa di gunakan,False
9559,255325,Kredivo,5,2024-04-07,mantap luar biasa,True
9569,214999,Akulaku,5,2024-02-03,aku laku emang top,False
9593,245428,Kredivo,5,2024-06-01,terimakasih kredivo the best,False
9598,63326,Kredivo,5,2025-04-22,sangat terbantu dengan kredivo,False
9599,244754,Kredivo,5,2024-06-04,saya kasi bintang 5,False
9613,88025,Kredivo,5,2024-10-24,kredivo memang luar biasa,True
9651,76805,Kredivo,5,2025-01-11,mudah dan efisien,False
9662,270575,Kredivo,5,2024-01-27,sangat membantu terima kasih.,False
9677,273004,Kredivo,5,2024-01-17,alhamdulillah sangat membantu,False
9685,45061,Kredivo,5,2025-10-05,gak bisa pinjam lagi,False
9737,68814,Kredivo,5,2025-03-08,sangat membantu sekali,False
9761,211300,Akulaku,5,2024-02-26,aplikasi gak mutu,False
9783,66150,Kredivo,5,2025-03-27,sukses selalu kredivo,False
9874,212029,Akulaku,5,2024-02-22,sangat suka dengan aplikasi ini,False
9886,172580,Akulaku,5,2024-12-02,top sangat membantu,False
9887,224719,Kredivo,4,2025-05-20,sangat membantu dalam finansial,False
9962,72619,Kredivo,5,2025-02-10,bintang yang bicara,False
9967,99758,Akulaku,1,2025-09-27,lucky draw penipuan,False
9979,210050,Akulaku,5,2024-03-04,good job aku laku,False
10131,268086,Kredivo,5,2024-02-06,simple ga ribet,False
10151,72243,Kredivo,5,2025-02-13,"cepat, mudah dan terpercaya",False
10173,115868,Akulaku,1,2024-09-03,tidak bisa mengajukan pinjaman,True
10178,252255,Kredivo,5,2024-04-27,sangat sy suka,False
10191,32150,Kredivo,3,2025-06-06,aplikasi ga bisa di buka,False
10202,266673,Kredivo,5,2024-02-12,kredivo mengatasi masalah tanpa masalah,False
10253,247997,Kredivo,5,2024-05-19,sangat memuaskan pakai kredivo,False
10292,235769,Kredivo,5,2024-07-29,cepat dan jelas,False
10361,47011,Kredivo,5,2025-09-16,"sangat "" membantu",False
10388,187998,Akulaku,5,2024-08-03,the best akulaku,False
10397,74455,Kredivo,5,2025-01-29,sangat baik dan bagus,False
10529,19926,Kredivo,1,2024-04-22,akun gk bisa di bukak,False
10546,49041,Kredivo,5,2025-08-28,ok sip mantap,False
10548,215173,Akulaku,5,2024-02-02,terima kasih akulaku terbaik,True
10580,67745,Kredivo,5,2025-03-16,aplikasi yg sangat membatu,False
10601,59871,Kredivo,5,2025-05-24,mantap terimakasih kredivo,False
10607,242361,Kredivo,5,2024-06-17,mudah dan cepat,False
10622,240846,Kredivo,5,2024-06-25,sangat membantu sekali dengan adanya aplikasi ini,False
10786,75555,Kredivo,5,2025-01-20,kredivo selalu di hati,False
10794,159344,Akulaku,5,2025-07-30,mantaap dan sangat membantu,True
10814,147096,Akulaku,4,2024-09-13,kenapa paylater sya tidak bisa di gunakan,False
10820,67098,Kredivo,5,2025-03-20,kenapa apk saya gk bisa dibuka,False
10839,243446,Kredivo,5,2024-06-11,sangat bagus apk ini,False
10876,79945,Kredivo,5,2024-12-21,bagus dan keren,False
10937,261531,Kredivo,5,2024-03-04,puas banget pakai kredivo,False
10963,155676,Akulaku,5,2025-10-11,aplikasi paling buruk.,False
11014,233516,Kredivo,5,2024-08-11,kredivo sangat membantu keuangan saya,False
11029,190609,Akulaku,5,2024-07-17,aplikasi yang sngt membantu,True
11077,260794,Kredivo,5,2024-03-08,kenapa belum bisa pinjam,False
11219,65752,Kredivo,5,2025-03-31,kredivo the best,False
11243,204386,Akulaku,5,2024-04-13,aplikasi yang bagus,False
11306,244394,Kredivo,5,2024-06-06,sangat membantu sekali aplikasi kredivo ini,False
11321,216004,Akulaku,5,2024-01-30,cepet dan tdk ribet,False
11381,233958,Kredivo,5,2024-08-08,sejauh ini sangat membantu,False
11387,192748,Akulaku,5,2024-07-02,akulaku aplikasi yang sangat bagus,False
11441,92444,Kredivo,5,2024-09-24,sangat membantu sya,False
11450,40393,Kredivo,5,2025-11-26,terimakasih sangat membantu,True
11451,188098,Akulaku,5,2024-08-03,akulaku sangat bagus,False
11464,252111,Kredivo,5,2024-04-28,sejauh ini masih bagus,False
11472,189532,Akulaku,5,2024-07-25,mudah acc nya,False
11498,170400,Akulaku,5,2025-01-09,aplikasi sangat bagus sekali,False
11558,239836,Kredivo,5,2024-07-02,terima kasih kredivo sangat membantu sekali,False
11619,274411,Kredivo,5,2024-01-11,mudah dan cepat sangat membantu,False
11625,236891,Kredivo,5,2024-07-20,sangat membantu mksh,False
11628,267219,Kredivo,5,2024-02-09,pencairan dana sangat cepat,False
11653,263863,Kredivo,5,2024-02-24,sangat mudah tidak ribet,False
11658,251643,Kredivo,5,2024-04-30,bagus dan mudah sangat membantu,False
11804,239642,Kredivo,5,2024-07-03,sangat cepat di acc,True
11961,23092,Kredivo,1,2024-02-24,bunganya gede bgt,False
12021,184014,Akulaku,5,2024-09-01,limit ada tp tidak bisa di pakai,False
12041,215787,Akulaku,5,2024-01-31,sangat luar biasa membantu,False
12056,92558,Kredivo,5,2024-09-23,pendaftaran cepat dan mudah,False
12153,41906,Kredivo,5,2025-11-08,sangat membantu terimakasih kredivo,False
12215,222353,Kredivo,3,2024-02-20,hapus data saya,False
12226,270739,Kredivo,5,2024-01-26,sangat luar biasa,False
12235,165659,Akulaku,5,2025-04-02,terimakasih sudah banyak membantu,False
12270,137501,Akulaku,2,2024-02-25,ada limit tp ga bs d pakai,False
12285,92300,Kredivo,5,2024-09-25,aplikasi bagus membantu,False
12301,241017,Kredivo,5,2024-06-24,kredipo sangat membantu,False
12339,194209,Akulaku,5,2024-06-24,mantap akulaku sangat membantu,False
12418,245596,Kredivo,5,2024-05-31,bagus... sangat membantu,False
12459,262789,Kredivo,5,2024-02-28,"mudah""an bisa membantu",False
12533,64888,Kredivo,5,2025-04-08,cepat mudah tidak ribet,True
12544,205643,Akulaku,5,2024-04-02,aku laku memang ok,False
12786,86428,Kredivo,5,2024-11-05,baru mau coba,False
12838,60528,Kredivo,5,2025-05-18,aplikasi pinjaman terbaik,False
12888,254352,Kredivo,5,2024-04-14,is the best,True
12889,239861,Kredivo,5,2024-07-01,sangat membantu masyarakat,False
12894,140388,Akulaku,3,2024-12-23,tidak dapat limit,False
12902,114239,Akulaku,1,2024-10-01,tidak bisa pinjam,False
12923,163870,Akulaku,5,2025-05-07,akulaku memang the best,False
12949,178054,Akulaku,5,2024-10-16,paylater ngga bisa di pake,False
12964,215336,Akulaku,5,2024-02-02,mudah dalam pelayanan,False
12985,83272,Kredivo,5,2024-11-28,bagus bgt membantu,False
13018,192943,Akulaku,5,2024-07-01,sangat mudah digunakan,False
13027,74206,Kredivo,5,2025-01-31,sangat membantu dan tidak ribet,True
13121,57430,Kredivo,5,2025-06-07,biar bintang yg berbicara,False
13142,201000,Akulaku,5,2024-05-07,aplikasi yang bagus,False
13150,83469,Kredivo,5,2024-11-27,sangat puas dgn aplikasi ini,False
13181,81413,Kredivo,5,2024-12-11,mantaf sangat membantu,False
13211,86979,Kredivo,5,2024-11-01,aplikasi ini sangat membantu,False
13221,248859,Kredivo,5,2024-05-15,pokonya kredivo is the best,False
13300,166980,Akulaku,5,2025-03-09,sukses selalu akulaku,False
13320,237941,Kredivo,5,2024-07-14,aplikasi tak bisa buka,True
13485,250153,Kredivo,5,2024-05-08,sangat mempermudah transaksi,False
13525,184730,Akulaku,5,2024-08-27,terima kasih akulaku,False
13602,207939,Akulaku,5,2024-03-17,sangat membantu dan mudah pembayaran nya,False
13643,113373,Akulaku,1,2024-10-18,aplikasi ga jelas,False
13780,191713,Akulaku,5,2024-07-09,apl yg sangat bagus,False
13807,57632,Kredivo,5,2025-06-06,kenapa aplikasinya ga bisa di buka ya,False
13826,236264,Kredivo,5,2024-07-24,kredivo emng mantap,True
13901,82542,Kredivo,5,2024-12-03,terima kasih kredivo..,True
13938,260759,Kredivo,5,2024-03-08,sangat membantu.. terimakasih,False
14004,44732,Kredivo,5,2025-10-08,biarkan bintang yg berbicara,False
14007,239253,Kredivo,5,2024-07-05,bunganya lebih rendah,True
14015,81097,Kredivo,5,2024-12-13,kredivo memang ok,False
14023,155436,Akulaku,5,2025-10-16,terimakasih akulaku sangat membantu,True
14026,196456,Akulaku,5,2024-06-09,mantap pokok nya akulaku,False
14047,77947,Kredivo,5,2025-01-04,bagus banget aplikasi nya,False
14051,74550,Kredivo,5,2025-01-28,aplikasi yang sangat memuaskan,False
14270,230441,Kredivo,5,2024-08-30,terima kasih sdh membantu,False
14290,114751,Akulaku,1,2024-09-24,apk yg sangat buruk,False
14341,255075,Kredivo,5,2024-04-09,sangat membantu di saat butuh mendesak,False
14343,246833,Kredivo,5,2024-05-25,semuanya jadi mudah,False
14344,272897,Kredivo,5,2024-01-17,terbaik dan termurah,False
14488,177053,Akulaku,5,2024-10-25,terimakasih atas kepercayaannya,True
14491,159954,Akulaku,5,2025-07-18,sangat baik akulaku,False
14556,192036,Akulaku,5,2024-07-07,... ' .,True
14569,60835,Kredivo,5,2025-05-15,proses cepat dan gak ribet,False
14590,192967,Akulaku,5,2024-07-01,terimakasih aku laku,False
14609,202164,Akulaku,5,2024-04-29,terima kasih akulaku sangat membantu,False
14626,200576,Akulaku,5,2024-05-09,pinjaman yang mudah dan cepat,False
14662,80008,Kredivo,5,2024-12-20,sangat membantu thanks kredivo,False
14665,198373,Akulaku,5,2024-05-27,trimakasih akulaku sangat membantu,False
14692,83640,Kredivo,5,2024-11-25,aplikasi yg baik,False
14735,226840,Kredivo,4,2024-08-08,pengajuan nya gampang,False
14761,84552,Kredivo,5,2024-11-18,sangat membantu saya,True
14774,277020,Kredivo,5,2024-01-01,sangat membantu jika digunakan dengan bijak,False
14790,172888,Akulaku,5,2024-11-29,sangat bagus bgt,False
14807,73268,Kredivo,5,2025-02-05,mantap jaya terus,False
14828,47378,Kredivo,5,2025-09-13,sangat mudah digunakan,False
14850,82324,Kredivo,5,2024-12-04,pelayanannya sangat baik,False
14860,255405,Kredivo,5,2024-04-07,lebih mudah dan murah,False
14901,170623,Akulaku,5,2025-01-05,terimakasih akulaku sangat membantu,False
14947,195116,Akulaku,5,2024-06-18,mantap the best,False
14990,187368,Akulaku,5,2024-08-07,the best pokoke,False
15009,78247,Kredivo,5,2025-01-02,kredivo sangat membantu trimakasi,False
15084,245027,Kredivo,5,2024-06-03,sukses trus buat kredivo,False
15094,41093,Kredivo,5,2025-11-18,kredivo yg terbaik,True
15122,79477,Kredivo,5,2024-12-24,kredivo keren sangat membantu,False
15132,233187,Kredivo,5,2024-08-12,biar bintang yang berbicara,True
15159,260776,Kredivo,5,2024-03-08,terima kasih sudah dibantu,False
