

"item_id","review_id","aspect","review_text","llm_label","label","aspect_present","confidence","notes"
"18","131801","trust","bikin kapok pinjam disini ... bunganya besar dan cara penagihan nya kasar...","Negative","Negative","1","2","sentimen negatif jelas, meski ada unsur risk juga; karena pasangan yang dinilai trust, cara penagihan kasar merusak kepercayaan"
"19","139379","trust","sudah menggunakan sampai limit 10jt sudah berjalan 5bulan angsuran tagihan ke 6 sudah saya bayar via mbanking , mutasi sudah keluar 1juta.an bukti tf juga ada tapi di aplikasi belum di bayar.. dan ditelpon karna jatuh tempo.. chat cs live sama tlpon cs tidak ada solusi suruh nunggu aja.. bagaimana ini soalnya nama saya bagus.. gara2 kesalahan aplikasi jadi terancam.. saya tidak mau bayar 2x dongss 1juta lebihh hlo , angsuran masih 7x jugaa","Negative","Negative","1","3","pembayaran sudah dilakukan tetapi tidak tercatat; kepercayaan pada sistem dan akurasi platform terganggu"
"20","128776","risk","aplikasi apa ini .masak adek saya sudah bayar lunas sejak bulan november .tiba2 bulan ini dapat wa katanya ada tagihan lalai dari november..sampai nominalnya 2.960.000..apa mkst nya. lama2 aplikasi pemerasan ini mah.. padahal data² sudah di hapus dari aplikasi . kalau memang adek saya masih ada hutang. tidak mungkin lah bisa hapus data segala macam...sudah blokir saja dari ojk aplikasi ini","Negative","Negative","1","3","tagihan besar muncul setelah merasa sudah lunas; indikasi kerugian finansial sangat kuat"
"21","119562","risk","untuk pengguna baru yang baru daftar gua saranin kalau bisa di pakai limit atau pinjaman nya lebih baik tidak usah di bayar karena percuma kalian bayar toh nanti tidak akan bisa ambil lagi mau bayar rutin dan tidak telat pun sama ajah ,,, sudah banyak nasabah bagus disini yang kecewa pakai akulaku karena pembayaran bagus tapi pinjaman selanjutnya tidak di acc ... mending pakai kredivo atau semacam nya lebih bagus","Negative","Negative","1","2","keluhan tentang akses pinjaman berikutnya setelah pembayaran lancar; bernada negatif pada aspek risk/akses kredit"
"22","256533","service","keredivo baik pertahankan yah..","Positive","Positive","1","2","pujian umum terhadap layanan; singkat tetapi tetap bernada positif"
"23","3471","risk","setiap transaksi apapun selalu gagal... nyesel daftar kredivo, rugi data pribadi, yang belum daftar kredivo sebaiknya jangan daftar...","Negative","","0","1","aspek risk tidak dibahas secara jelas; yang lebih menonjol justru kegagalan transaksi dan kekhawatiran data pribadi"
"24","3471","trust","setiap transaksi apapun selalu gagal... nyesel daftar kredivo, rugi data pribadi, yang belum daftar kredivo sebaiknya jangan daftar...","Negative","Negative","1","3","ada kekhawatiran jelas soal data pribadi dan hilangnya kepercayaan terhadap platform"
"25","121022","service","ada limit offline tapi riject padahal tidak pernah kredit pakai yang lain. terus juga bunganya sangat mahal tolong bunganya di turuni kaya kompetitor sebelah yang bunganya rendah","Negative","Negative","1","2","untuk pasangan service, keluhan utamanya limit offline ditolak; ada juga unsur risk dari bunga mahal sehingga kasusnya agak campuran"
"26","135378","risk","ko saya dak bisa ngajuin pinjaman ya","Negative","Negative","1","2","keluhan singkat tentang tidak bisa mengajukan pinjaman; aspek risk masih relevan sebagai akses kredit"
"27","54367","service","good good good saya baru saja mendapatkan kenaikan limit pinjaman. terima kasih kredivo telah memberikan kemudahan untuk saya. aplikasi terpercaya.","Positive","Positive","1","3","pengalaman layanan positif: kenaikan limit dan kemudahan penggunaan dinilai baik"
"28","30751","trust","jujur kecewa sekali dengan kredivo saya sudah melakukan pembayaran tepat waktu , gilian limit saya 100 ribu tidak bisa digunakan mohon kembalikan kepercyaan kami ke aplikasi ini","Negative","Negative","1","3","kepercayaan menurun karena limit tidak bisa digunakan meski pembayaran tepat waktu"
"29","246615","trust","ok, cuman debt kolektor rewel. pokoknya kalau lewat jatuh tempo sehari telpon setiap menit. yang telpon pun gonta ganti. enakan hutang bri aja.... tiba tiba akun diblokir permananen...","Negative","Negative","1","3","penagihan agresif dan pemblokiran akun merusak kepercayaan pada platform"
"30","185080","trust","tampilan bagus...penjual nakal perlu disaring,kita belanja dengan cara kredit bukan untuk barang murahan","Neutral","","0","1","aspek trust tidak dibahas jelas; isi lebih mengarah ke kualitas penjual/transaksi, bukan kepercayaan pada platform secara langsung"
"31","26627","service","punya saya di blokir permanen kenapa ya padahal tidak talat kalau bayar","Negative","Negative","1","3","keluhan jelas tentang pemblokiran akun meski pembayaran tidak telat"
"32","123330","service","saya sangat kecewa dengan administrasi akulaku kenapa di akun saya tidak dapat melakukan peminjaman padahal saya baru daftar akulaku dan sudah melakukan transaksi akulaku, serta kenapa saya tidak bisa menggunakan paylater akulaku padahal sebelumnya saya bisa menggunakan paylater dan sudah saya lunasi tagihannya, tetapi saat saya sudah lunas tagihan paylater saya kenapa saya malah tidak bisa menggunakan kembali paylater saya. mohon kejelasannya dari pihak akulaku, terima kasih~","Negative","Negative","1","3","keluhan kuat tentang administrasi, peminjaman, dan paylater yang tidak bisa digunakan; masalah layanan sangat jelas"
"33","272633","risk","saya sudah 3 tahun konsumen kredivo pembayaran belum pernah telat, malah selalu di awal sblm wktunya. cuman saya sangat kecewa diakala pembayaran barru telat 1 minggu. sudah di datangin dc... ke kantor tempat kerja pula. saya sangat kecewa, bikin malu. timbang telat seminngu. kenapa tidak dtng ke alamat ktp rumah saya. kalau sudah lunas saya kapok minjem kredivo baru tau ternyata begitu... nagih ke tempat kerja.","Negative","Negative","1","2","ada risiko/kerugian sosial akibat penagihan agresif; untuk pasangan risk masih relevan, walau ada unsur trust juga"
"34","3931","risk","aplikasi sampah, saya menggunakan aplikasi kredivo sudah cukup lama, dan pembayaran saya di kredifazz selalu lebih awal dari tanggal jatuh tempo pembayaran, tetapi saya mengajukan kenaikan limit dan persyaratan yang di minta sudah saya isi semua namun tidak pernah di setujui, kalau cuman limit 2 juta lebih buat apa saya cape cape instal aplikasi sampah ini, setelah pembayaran saya lunas setelah ini, saya akan uninstall aplikasi sampah kaya gini, aplikasi miskin","Negative","Negative","1","2","keluhan tentang limit dan pengajuan kenaikan limit yang tidak disetujui; risk relevan sebagai akses kredit"
"35","256246","service","aplikasi yang sangat membantu,aman dan terbaik limit nambah semua menjadi lancar & mudah","Positive","Positive","1","3","pujian jelas terhadap kemudahan layanan dan peningkatan limit"
"36","205537","service","semoga aman dan lancar","Positive","Positive","1","1","harapan bernada positif terhadap layanan, tetapi sangat singkat dan minim konteks"
"37","111605","trust","""buat akulaku jangan ngasih limit paylater atw pinjaman,klo bru pnya tagihan pulsa 21rbu aj sudah tidak bisa d'pakai [pnggunaan limit lgs d'bekukan]...mksud'ny apa..??.ketakutan amat nasabah tidak byar...itu mah resiko.bintang 1 aj lah..jelek,mau uninstal sayang data2'ny sudah trlanjur msuk,kecewa.","Negative","Negative","1","3","pembekuan limit dan kekhawatiran soal data menurunkan kepercayaan pada platform"
"38","8871","risk","kapok pakai ini.. sudah di bayar lunas masih di tagih.. hati-hati buat yang lain.. saya cukup sampai disini..","Negative","Negative","1","3","sudah lunas tetapi masih ditagih; risiko kerugian finansial sangat jelas"
"39","80160","trust","kerenn,mudah dan cepat","Positive","","0","1","aspek trust tidak dibahas; ini hanya sentimen umum terhadap aplikasi"
"40","19570","trust","kecewaaaaaaaaaaa... bayar tidak pernah telat... tapi aplikasi q diblokir permanen. maaf ya... sementara aq kasih bintang 1. tapi misal ada perubahan ya aq ksih bintang 5.","Negative","Negative","1","3","pemblokiran permanen meski bayar lancar merusak kepercayaan pada platform"
"41","169751","risk","bagus proses mudah dan bisa membantu keuangan darurat, tenor nya panjang bunga sangat rendah dibanding apl lainya.. sangat recommended aplikasi akulaku ini","Positive","Positive","1","3","jelas membahas manfaat finansial, tenor, dan bunga rendah; sentimen positif kuat"
"42","115305","trust","saya sangat kecewa atas akulaku, saya sudah berlangganan dengan akulaku 8 tahun, baru sekarang saya komplen karena saya membeli barang dan dikasih barang palsu oleh penjual, tapi 2 x admin akulaku menolak nya, tidak seperti lazada, hayoo semuanya pindah saja ke lazada, akulaku sudah mengecewakan.. langsung saya unnistal apk nya","Negative","Negative","1","2","ada kekecewaan pada platform dan penanganan komplain, jadi trust masih relevan walau ada unsur service"
"43","231","trust","ini aplikaai paling jahat padahal dilindungi ojk. masa mau tutup akun tidak bisa lewat aplikasi ataupun chat lewat cust service di aplikasi. jadi gw merasa dijerat untuk terikat dan pinjam terus. mana bunganya tidak tahan, pinjam 5,5 ganti 7,5. 45℅ bro lu nyeket rakyat. mohon play strore ataupun app store tutup saja ini akun. kominfo jangan diam saja donk","Negative","Negative","1","3","rasa dijerat, sulit tutup akun, dan tuduhan platform jahat jelas merusak kepercayaan"
"44","104","risk","aplikasinya bagus, cum saya kecewa dengan tim penagihnya, saya memang telat bayar, dan saya akan bayar. tetapi kenapa mereka nagih ke orang tua saya? dan kasih tau semua hutang saya ke orang tua saya. padahal posisi saya ada di rumah. dan saya sudah bayar sesuai tgl yang saya janjikan, kenapa masih di tagih jg? dan di tagihnya ke orang tua saya, bukan ke saya? dan orang penagihnya tidak ada konfirmasi sama sekali ke saya, baik wa atau telpon kalau memang saya kurang bayar..","Negative","Negative","1","2","untuk pasangan risk masih bisa diterima karena ada konsekuensi penagihan, tetapi sebenarnya cukup kuat juga ke trust/privacy"
"45","115305","service","saya sangat kecewa atas akulaku, saya sudah berlangganan dengan akulaku 8 tahun, baru sekarang saya komplen karena saya membeli barang dan dikasih barang palsu oleh penjual, tapi 2 x admin akulaku menolak nya, tidak seperti lazada, hayoo semuanya pindah saja ke lazada, akulaku sudah mengecewakan.. langsung saya unnistal apk nya","Negative","Negative","1","3","komplain ditolak admin dua kali; kualitas penanganan layanan jelas buruk"
"46","99921","risk","aplikasi tidak bner masa limit tidak pernah cair data saya uda di ambil yang bner saja aplikasi busuk","Negative","Negative","1","2","limit tidak cair menunjukkan masalah akses kredit; ada juga keluhan data sehingga sedikit campuran"
"47","200417","risk","tidak ribet, data lengkap, cairrr","Positive","Positive","1","2","proses pencairan lancar dan mudah; sentimen positif pada aspek risk/akses dana"
"48","3533","trust","masa iya bayar tepat waktu akun di blokir permanen","Negative","Negative","1","3","pembayaran tepat waktu tetapi akun diblokir permanen; kepercayaan pada platform turun jelas"
"49","256533","risk","keredivo baik pertahankan yah..","Neutral","","0","1","aspek risk tidak dibahas; ini hanya pujian umum terhadap aplikasi"
"50","100117","risk","gua cuma ngasih tau sama kalian kalau cuma sekedar beli barang doang mending beli apk lain saja yang sudah terpercaya kek shoppe tokopedia sama lazada atau tidak pke tiktok shop , tapi kalau ada maksud buat pakai² pitur lainya kek dana cicil pinjaman tunai sama paylater nyah mending tidak usah deh sangat tidak rekomend mending pke shoppe saja sudah yang bner² terpercaya , sekarang pitur kek gituan di akulaku ini sudah tidak jelas paylater cuma pajangan doang tidak bisa di pke walaupun sudah dapet limit","Negative","Negative","1","2","untuk pasangan risk masih masuk karena menyangkut limit dan akses pinjaman/paylater, walau service juga sangat kuat"
"51","106627","risk","daftar juga gagal ditolak ..terus ada yang telpon suruh bayar . tidak pinjam juga ada tagihan yang harus dibayar???? bagaimana ini","Negative","Negative","1","3","ada tagihan/penagihan padahal merasa tidak meminjam; risiko finansial jelas"
"52","142037","risk","ini saya kok di telfon"" kak masalah cashback telat apa bener","Negative","Neutral","1","1","ada topik finansial/cashback, tapi makna sangat ambigu dan belum jelas bernada negatif"
"53","185080","service","tampilan bagus...penjual nakal perlu disaring,kita belanja dengan cara kredit bukan untuk barang murahan","Positive","Neutral","1","2","ada pujian awal tetapi inti review adalah kritik umum soal penjual; untuk service sentimennya tidak cukup kuat ke positif"
"54","115305","risk","saya sangat kecewa atas akulaku, saya sudah berlangganan dengan akulaku 8 tahun, baru sekarang saya komplen karena saya membeli barang dan dikasih barang palsu oleh penjual, tapi 2 x admin akulaku menolak nya, tidak seperti lazada, hayoo semuanya pindah saja ke lazada, akulaku sudah mengecewakan.. langsung saya unnistal apk nya","Negative","","0","1","aspek risk tidak dibahas jelas; isi lebih kuat ke service/trust terkait komplain dan penanganan admin"
"55","43656","risk","saya sudah sering melakukan transaksi terus aman2 aja, tapi kok sudah lama di pakai saya masih tidak bisa upgrade premium , terus limit saya masih kecil terus 1,3 padahal kata anggota kredivo nya harus trus2 melakukan transaksi dan bayar tepat waktu supaya naik limitnya eh engga pernah naik kecewa sih, padahal butuh banget kalau limit naik mau beli hp ka,, kcewa tidak bisa naik limit :((((","Negative","Negative","1","2","limit kecil dan tidak naik meski transaksi rutin; negatif pada akses kredit/risk"
"56","28934","service","transaksi kayak ambil kuota, pembayaran online aman cuman perhatiin dong orang bayar 100 rebu yang masuk cuman 94 rebu bagaimana si? katanya di suruh kirim bukti pembayaran tapi tidak ada respon lagi. kecewa si","Negative","Negative","1","3","ada masalah pada proses pembayaran dan tindak lanjut layanan tidak direspons"
"57","12285","trust","aplikasi sampah ....boong","Negative","Negative","1","2","tuduhan aplikasi bohong menunjukkan hilangnya kepercayaan, meski teks sangat singkat"
"58","8871","service","kapok pakai ini.. sudah di bayar lunas masih di tagih.. hati-hati buat yang lain.. saya cukup sampai disini..","Negative","Negative","1","2","masih bisa diterima untuk service karena ada masalah penagihan, walau risk juga sangat kuat"
"59","18406","risk","aplikasi tidak rekomended,tiba tiba akun diblokir permanen tolong min,sebelum di blokir lihat historis nya dulu, terimakasih","Negative","","0","1","aspek risk tidak dibahas jelas; isi lebih kuat ke service/trust tentang pemblokiran akun"
"60","3931","trust","aplikasi sampah, saya menggunakan aplikasi kredivo sudah cukup lama, dan pembayaran saya di kredifazz selalu lebih awal dari tanggal jatuh tempo pembayaran, tetapi saya mengajukan kenaikan limit dan persyaratan yang di minta sudah saya isi semua namun tidak pernah di setujui, kalau cuman limit 2 juta lebih buat apa saya cape cape instal aplikasi sampah ini, setelah pembayaran saya lunas setelah ini, saya akan uninstall aplikasi sampah kaya gini, aplikasi miskin","Negative","Negative","1","2","kekecewaan besar pada platform dan sistem limit menurunkan kepercayaan, walau risk juga hadir"
"61","100117","trust","gua cuma ngasih tau sama kalian kalau cuma sekedar beli barang doang mending beli apk lain saja yang sudah terpercaya kek shoppe tokopedia sama lazada atau tidak pke tiktok shop , tapi kalau ada maksud buat pakai² pitur lainya kek dana cicil pinjaman tunai sama paylater nyah mending tidak usah deh sangat tidak rekomend mending pke shoppe saja sudah yang bner² terpercaya , sekarang pitur kek gituan di akulaku ini sudah tidak jelas paylater cuma pajangan doang tidak bisa di pke walaupun sudah dapet limit","Negative","Negative","1","3","review secara eksplisit membandingkan tingkat kepercayaan dan menyebut platform lain lebih terpercaya"
"62","114230","service","sudah isi data sesuai kenyataan & valid, saya blom pernah ada riwayat kredit macet bahkan belum pernah kredit tapi ditolak mulu. tolong dong evaluasi kmbali terkait sistem peninjauan data nya","Negative","Negative","1","3","keluhan jelas pada sistem peninjauan dan proses layanan pengajuan"
"63","111605","risk","""buat akulaku jangan ngasih limit paylater atw pinjaman,klo bru pnya tagihan pulsa 21rbu aj sudah tidak bisa d'pakai [pnggunaan limit lgs d'bekukan]...mksud'ny apa..??.ketakutan amat nasabah tidak byar...itu mah resiko.bintang 1 aj lah..jelek,mau uninstal sayang data2'ny sudah trlanjur msuk,kecewa.","Negative","Negative","1","2","pembekuan penggunaan limit/paylater berkaitan dengan akses kredit; ada juga unsur trust soal data"
"64","148795","service","paylater kadang bisa kadang tidak payah","Neutral","Negative","1","2","fungsi layanan tidak stabil; meski singkat, nada akhirnya cenderung keluhan"
"65","253555","service","aplikasi taiii...sudah isi semua data tunggu pengajuan.malah d tolak..padahal tidak pernah punya urusan sama apk mana pun...gua sumpahin supaya d blok ini apk..","Negative","Negative","1","3","pengajuan ditolak setelah isi data lengkap; keluhan layanan sangat jelas"
"66","135057","risk","kenapa yang sudah melakukan pembayaran/ sudah lunas tapi masih ada tagihan tolong d jawab min","Negative","Negative","1","3","sudah lunas tetapi masih ada tagihan; risiko finansial jelas"
"67","25412","trust","ini aplikasi kredivo kok sekarang parah ya transaksi pembelian batal kok tagihan masih berjalan sudah dinkirim bukti pembatalan dengan jelas masih saja di tagih","Negative","Negative","1","3","tagihan tetap berjalan meski transaksi batal; merusak kepercayaan pada sistem"
"68","147275","trust","biasa saja sih menurut saya ,ga ada yang istimewa dari aplikasi belanja ,pinjaman ,dll. masih lebih baik aplikasi sebelah yang fitur2nya sudah lengkap dan reasonable memberikan pinjaman dengan bunga sewajarnya ,tenor yang bisa dipilih , belanja yang murah tanpa kena biaya admin , transparansi perincian dalam pembelian/pinjaman..teeima kasih","Neutral","Neutral","1","2","ada evaluasi umum dan perbandingan transparansi/kelayakan platform lain; nada kritiknya ringan dan cukup seimbang"
"69","122203","service","awalnya di kasih . giliran sudah lunas. mau lakukan pinjaman ulang di tolak mulu. padahal pembayaran tidak terlambat dan malahan belum jatuh tempo sudah di lunasin. tidak puas sama aplikasi akulaku. semoga saja data pribadi ku aman dan jangan di gunakan buat hal lain.","Negative","Negative","1","3","keluhan utama pada layanan pengajuan ulang yang ditolak meski riwayat bayar baik"
"70","139126","risk","sudah pinjam beberapa kali dana cicil. selalu tepat waktu pembayaran, dan sudah lunas juga per hari ini. tapi mau mengajukan lagi tidak bisa, katanya skor kredit buruk. jadi bingung ini, bagaimana penilaiannya. padahal selama ini selalu suka akulaku, karena mudah, bunga ringan juga. tapi sekarang kecewa karena tidak bisa pinjam lagi","Negative","Negative","1","2","akses pinjaman ditolak karena skor kredit buruk; ada unsur campuran tapi dominan negatif"
"71","103193","risk","pengajuan di tolak terus .tolong hapus fata saya. saya tidak bertangguang jawab kalau ada apa"" kedepanya. saya sudah uninstall","Negative","Negative","1","2","pengajuan ditolak terus; untuk pasangan risk masih relevan sebagai akses kredit, walau ada unsur trust soal data"
"72","140240","risk","semoga akun saya bisa di pakai lagi tidak pernah telat tapi tidak bisa di gunakan","Negative","Negative","1","2","akun/limit tidak bisa digunakan meski tidak pernah telat; negatif pada akses kredit"
"73","3533","service","masa iya bayar tepat waktu akun di blokir permanen","Negative","Negative","1","3","pemblokiran permanen meski bayar tepat waktu; masalah layanan sangat jelas"
"74","18406","trust","aplikasi tidak rekomended,tiba tiba akun diblokir permanen tolong min,sebelum di blokir lihat historis nya dulu, terimakasih","Negative","Negative","1","3","akun diblokir tiba-tiba tanpa pertimbangan historis; menurunkan kepercayaan pada platform"
"75","167239","risk","peminjaman cepat dan mudah, bunga juga kecil","Positive","Positive","1","3","jelas membahas pinjaman dan bunga; sentimen positif kuat"
"76","17732","risk","tidak jelas banget diblokir permanen, padahal aplikasinya sangat membantu saya dalam finansial tapi malah diblokir permanen. saya cuma belanja pulsa dan paketan langsung diblokir permanen","Negative","","0","1","aspek risk tidak dibahas jelas; inti review lebih ke pemblokiran akun, jadi lebih cocok ke service/trust"
"77","145763","trust","aku laku parah sudah bayar, tapi masih ada tagih, nelpon ke costumer tidak di angkat malah pulsa abis gede, lewat livechat nungguin antrian 1400. 2 jam baru beres paling 10 orang, bagaimana ngehubunginya, bikin pusing, mending kalau tidak ada denda.","Negative","Negative","1","3","sudah bayar tetapi masih ditagih dan akses bantuan buruk; kepercayaan pada sistem/platform turun jelas"
"78","98442","risk","aplikasi tidak jelas lagi ngajuin tiba tiba dibekukan , alesan nya juga tidak jelas keamanan² t41","Negative","","0","1","aspek risk tidak muncul jelas; isi lebih kuat ke service/trust karena pengajuan dibekukan dan alasan tidak transparan"
"79","106184","risk","pokonya nanti kalau sudah lunas kapok ngambil pinjaman di akulaku lagi. kebanyakan spam telfon, nelfon pakai ngancem ngancem segala pke nda tinggi","","Negative","1","2","meski ada unsur trust/service, untuk risk masih relevan karena terkait pengalaman pinjaman dan konsekuensi penagihan"
"80","27318","risk","ini bagaimana cara berhenti nya, saya sama sekali tidak mengambil kenapa dikirim terus saldonya? mohon bantuannya dong..","","Negative","1","3","saldo dikirim padahal merasa tidak mengambil; risiko finansial/transaksi tidak sah sangat jelas"
"81","123330","trust","saya sangat kecewa dengan administrasi akulaku kenapa di akun saya tidak dapat melakukan peminjaman padahal saya baru daftar akulaku dan sudah melakukan transaksi akulaku, serta kenapa saya tidak bisa menggunakan paylater akulaku padahal sebelumnya saya bisa menggunakan paylater dan sudah saya lunasi tagihannya, tetapi saat saya sudah lunas tagihan paylater saya kenapa saya malah tidak bisa menggunakan kembali paylater saya. mohon kejelasannya dari pihak akulaku, terima kasih~","","Negative","1","2","kepercayaan turun karena layanan dan aturan platform dirasa tidak jelas; kasus agak campuran dengan service"
"82","138525","trust","apk saya hapus karena di tolak terus padahal belum pernah ada cicil apapun,trus ini nanti data saya kira"" juga ikut dihapus tidak ya??","Negative","Negative","1","3","kekhawatiran jelas soal penghapusan data dan rasa aman terhadap platform"
"83","272047","trust","kredivo mantap,,,pinjol yang sangat membantu di saat kesulitan bunga nya pun tidak terlalu tinggi dibanding dg pinjol lain nya","Positive","Positive","1","2","ada pujian umum dan rasa percaya positif pada platform; meski unsur risk juga ada"
"84","136344","trust","pinjaman pertama langsung di respon dengan baik, tapi kenapa pinjaman kedua di tolak padahal pembayarannya di lunasin jauh sebelum jatuh tempo, untuk itu mohon data saya jangan di salah gunakan pertanggal 17/05/2024 karena aplikasi akulaku saya uninstall","Negative","Negative","1","3","penolakan pinjaman kedua disertai kekhawatiran data disalahgunakan; trust jelas negatif"
"85","119562","trust","untuk pengguna baru yang baru daftar gua saranin kalau bisa di pakai limit atau pinjaman nya lebih baik tidak usah di bayar karena percuma kalian bayar toh nanti tidak akan bisa ambil lagi mau bayar rutin dan tidak telat pun sama ajah ,,, sudah banyak nasabah bagus disini yang kecewa pakai akulaku karena pembayaran bagus tapi pinjaman selanjutnya tidak di acc ... mending pakai kredivo atau semacam nya lebih bagus","Negative","Negative","1","3","review secara jelas menyiratkan platform tidak layak dipercaya dan merekomendasikan pindah ke aplikasi lain"
"86","106944","risk","aplikasi tidak bagus,pelunasan dan denda sudah saya lunasi,tapi nama saya diblacklist disemua apk,kacau ini aplikasi ,jangan sampai masuk apk ini kawan ,apk yang sangat merugikan .","Negative","Negative","1","3","ada kerugian nyata setelah pelunasan, termasuk blacklist; aspek risk jelas negatif"
"87","205537","trust","semoga aman dan lancar","Positive","Positive","1","1","harapan bernada positif, tetapi sangat singkat dan minim konteks"
